condition_name,category,complication
Abortion,Maternal/Reproductive,"Endometritis, parametritis, peritonitis, haemorrhage, secondary infertility, chronic pelvic pain, dyspareunia."
Abortion,Maternal/Reproductive,"Induced abortion can be complicated by uterine perforation, bladder or intestinal injuries and shock"
Acne Vulgaris,Dermatological,Psychosocial problems from cosmetic disfigurement
Acne Vulgaris,Dermatological,Post-inflammatory pigmentary changes
Acne Vulgaris,Dermatological,Pitted scars
Acne Vulgaris,Dermatological,Keloids
Acne Vulgaris,Dermatological,Acne fulminans (acute febrile ulcerative acne conglobata with polyarthritis and leukemoid reaction)
Acute Anterior Uveitis,Ophthalmology,Secondary glaucoma
Acute Anterior Uveitis,Ophthalmology,Secondary cataracts
Acute Bronchitis,Respiratory,Pneumonia
Acute Bronchitis,Respiratory,Acute respiratory failure
Acute Bronchitis,Respiratory,Repeated bouts of acute bronchitis over time may lead to COP
Acute Coronary Syndrome,Cardiovascular,Arrhythmia
Acute Coronary Syndrome,Cardiovascular,Pulmonary oedema
Acute Coronary Syndrome,Cardiovascular,Septal/chordae/myocardial wall rupture
Acute Coronary Syndrome,Cardiovascular,Stroke
Acute Coronary Syndrome,Cardiovascular,Ventricular aneurysm
Acute Coronary Syndrome,Cardiovascular,Pericarditis
Acute Diarrhoea,Gastrointestinal,Hypovolaemic shock.
Acute Diarrhoea,Gastrointestinal,Electrolyte imbalance.
Acute Diarrhoea,Gastrointestinal,Septicaemia
Acute Diarrhoea,Gastrointestinal,Intestinal perforation
Acute Diarrhoea,Gastrointestinal,Gastro-intestinal bleeding
Acute Diarrhoea,Gastrointestinal,Paralytic ileus
Acute Epiglottitis,Respiratory,Airway obstruction
Acute Epiglottitis,Respiratory,Epiglottic abscess
Acute Epiglottitis,Respiratory,Secondary infection
Acute Epiglottitis,Respiratory,"Necrotizing epiglottitis (rare, in immunodeficiency)"
Acute Epiglottitis,Respiratory,Death
Acute Keratitis,Ophthalmology,Corneal perforation
Acute Keratitis,Ophthalmology,Corneal scarification
Acute Kidney Injury,Renal/Urological,Pulmonary oedema
Acute Kidney Injury,Renal/Urological,Infections
Acute Kidney Injury,Renal/Urological,"Electrolyte abnormalities: Hyperkalaemia, Hypokalaemia, Hyponatraemia"
Acute Otitis Media,"ENT (Ear, Nose & Throat)",Acute mastoiditis
Acute Otitis Media,"ENT (Ear, Nose & Throat)",Facial nerve paralysis
Acute Otitis Media,"ENT (Ear, Nose & Throat)",Labyrinthitis
Acute Otitis Media,"ENT (Ear, Nose & Throat)","Intracranial (meningitis, brain abscess, lateral sinus thrombosis)"
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,Superimposed bacterial rhinitis
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,Suspect this if symptoms last longer than 7-10days
