condition_name,category,prevention,Theme
Abortion,Maternal/Reproductive,Promote personal and family understanding of basic reproductive health issues,Health Education
Abortion,Maternal/Reproductive,Provide access to efficient and effective higher levels of healthcare,Other Preventive Measures
Abortion,Maternal/Reproductive,Review existing laws on abortion (based on the guidelines from SOGON) with a view to promoting and protecting the overall wellbeing of mother and the unborn child,Health Education
Acne Vulgaris,Dermatological,"Avoid oil-based cosmetics, hair styling mousse, face creams and hair sprays",Other Preventive Measures
Acne Vulgaris,Dermatological,Avoid medicines that may induce acne,Other Preventive Measures
Acute Anterior Uveitis,Ophthalmology,No real preventive measures,Other Preventive Measures
Acute Coronary Syndrome,Cardiovascular,"Life style modifications including regular exercise, optimum weight, high fibre and low saturated fat diet; cessation of cigarette smoking and moderate alcohol intake",Dietary/Nutritional
Acute Coronary Syndrome,Cardiovascular,"Treatment of hypertension, diabetes and hyperlipidaemia",Dietary/Nutritional
Acute Coronary Syndrome,Cardiovascular,"Educate on benefits, outcome and complications of patient's condition and treatment modalities",Health Education
Acute Coronary Syndrome,Cardiovascular,Emphasize primary and secondary preventive measures as essential irrespective of treatment modality offered,Dietary/Nutritional
Acute Diarrhoea,Gastrointestinal,Communal and Personal hygiene,Hygiene/Sanitation
Acute Diarrhoea,Gastrointestinal,Potable water,Other Preventive Measures
Acute Diarrhoea,Gastrointestinal,Sanitary disposal of human waste,Other Preventive Measures
Acute Epiglottitis,Respiratory,"Haemophilus influenza vaccine: Child 2 months – 18 years: 0.5 mls, Should be part of childhood immunization",Vaccination/Immunisation
Acute Keratitis,Ophthalmology,Treat initial infection or trauma promptly to avoid progression to keratitis,Dietary/Nutritional
Acute Kidney Injury,Renal/Urological,Avoidance of nephrotoxins in all forms.,Other Preventive Measures
Acute Kidney Injury,Renal/Urological,Provision of pipe borne water.,Other Preventive Measures
Acute Kidney Injury,Renal/Urological,Prompt treatment of accident victims.,Dietary/Nutritional
Acute Kidney Injury,Renal/Urological,Prompt treatment of infections.,Dietary/Nutritional
Acute Kidney Injury,Renal/Urological,"Good maternal, child and reproductive health care",Other Preventive Measures
Acute Kidney Injury,Renal/Urological,Adequate hydration during contrast investigations,Other Preventive Measures
Acute Otitis Media,"ENT (Ear, Nose & Throat)",General healthy and clean airy environment reduces incidence of upper respiratory infections (colds),Hygiene/Sanitation
Alcohol Dependence (Alcoholism),Neurological/Mental,"Health education (including school health education, peer group education and self-help group e.g., alcoholics anonymous 'AA')",Health Education
Alcohol Dependence (Alcoholism),Neurological/Mental,Government regulation of alcohol use,Other Preventive Measures
Allergic Conjunctivitis,Ophthalmology,Avoid allergen(s) as much as possible in cases where it/they have been identified,Other Preventive Measures
Alveolar Osteitis (Dry Socket),Dental/Oral Health,Minimal trauma during extractions,Other Preventive Measures
Alveolar Osteitis (Dry Socket),Dental/Oral Health,"Immediately after extraction, squeeze socket edges firmly together and hold for a few minutes till clot has formed",Other Preventive Measures
Alveolar Osteitis (Dry Socket),Dental/Oral Health,"Antibiotics if patients have had irradiation, or have Paget's disease",Other Preventive Measures
Amoebiasis,Infectious/Tropical,Personal and communal hygiene,Hygiene/Sanitation
Amoebiasis,Infectious/Tropical,"Potable water, sanitary disposal of faeces",Other Preventive Measures
Amoebiasis,Infectious/Tropical,Screen of food handlers,Screening/Early Detection
Anaemias,Haematological,Balanced diet,Dietary/Nutritional
Anaemias,Haematological,Prompt treatment of all illnesses,Dietary/Nutritional
Anemia in Pregnancy,Maternal/Reproductive,Counselling on contraception,Health Education
Anemia in Pregnancy,Maternal/Reproductive,Adequate spacing of pregnancies,Other Preventive Measures
Anemia in Pregnancy,Maternal/Reproductive,Malaria prophylaxis in pregnancy,Other Preventive Measures
Anemia in Pregnancy,Maternal/Reproductive,Chemoprophylaxis against helminthiasis,Other Preventive Measures
Anemia in Pregnancy,Maternal/Reproductive,Prompt and appropriate treatment of febrile illnesses in pregnancy,Dietary/Nutritional
Anemia in Pregnancy,Maternal/Reproductive,Improvement of the socioeconomic status of the people,Other Preventive Measures
Anemia in Pregnancy,Maternal/Reproductive,Provision of accessible and affordable maternity care facilities,Other Preventive Measures
Antenatal Care (ANC),Maternal/Reproductive,Use of intermittent preventive treatment for malaria and nutritional supplements.,Dietary/Nutritional
Antenatal Care (ANC),Maternal/Reproductive,Pregnant women managing their own case notes to ensure continuity of care throughout pregnancy.,Other Preventive Measures
Anxiety Disorder,Neurological/Mental,Avoid undue and extreme stress,Other Preventive Measures
Anxiety Disorder,Neurological/Mental,Avoid psycho-active substances,Other Preventive Measures
Bacillary Dysentery,Infectious/Tropical,Personal and communal hygiene.,Hygiene/Sanitation
Bacillary Dysentery,Infectious/Tropical,"Potable water, sanitary disposal of faeces.",Other Preventive Measures
Bacterial Vaginosis,Maternal/Reproductive,Reduce or eliminate predisposing factors (antiseptic/antibiotic vaginal preparations or vaginal douching),Other Preventive Measures
Bacterial Vaginosis,Maternal/Reproductive,Treat symptomatic pregnant women,Dietary/Nutritional
Bacterial Vaginosis,Maternal/Reproductive,Screen pregnant women with a history of previous pre-term delivery to detect asymptomatic infections,Screening/Early Detection
Bacterial Vaginosis,Maternal/Reproductive,Retreat pregnant women with recurrence of symptoms,Dietary/Nutritional
Bacterial Vaginosis,Maternal/Reproductive,"Counselling, Compliance, Condom use and Contact treatment",Health Education
Bipolar Disorders,Neurological/Mental,No primary preventive measures are clearly delineated,Dietary/Nutritional
Bipolar Disorders,Neurological/Mental,Adherence to therapy with mood stabilizers until discontinuation is considered prudent (this is individually determined),Other Preventive Measures
Blood Transfusion,Haematological,Avoid/prevent accidents,Other Preventive Measures
Blood Transfusion,Haematological,Prompt treatment of illnesses that could be complicated by anaemia,Dietary/Nutritional
Blood Transfusion,Haematological,Regular medical check-ups,Other Preventive Measures
Bronchial Asthma,Respiratory,Avoid precipitating factors,Other Preventive Measures
Bronchial Asthma,Respiratory,Appropriate use of medicines,Other Preventive Measures
Bronchial Asthma,Respiratory,Training of patients in the techniques of the proper use of aerosols/spacer devices is important,Other Preventive Measures
Bronchiectasis,Respiratory,Avoidance of smoking,Other Preventive Measures
Bronchiectasis,Respiratory,Timely and effective treatment of bacterial infections,Dietary/Nutritional
Bronchiectasis,Respiratory,Respiratory care during childhood measles,Other Preventive Measures
Cancer of the Cervix,Oncology,Regular Papanicolaou smear screening,Screening/Early Detection
Cancer of the Cervix,Oncology,Visual inspection of the cervix after acetic acid lavage (VIA),Other Preventive Measures
Cancer of the Cervix,Oncology,Visual inspection of the cervix with lugol iodine (VIL),Other Preventive Measures
Cancer of the Cervix,Oncology,HPV vaccines,Vaccination/Immunisation
Cancer of the Cervix,Oncology,Avoidance of multiple sexual partners,Safe Sexual Practices
Cancer Therapy,Oncology,Screening and early detection,Screening/Early Detection
Cancer Therapy,Oncology,"Avoid tobacco smoking, chewing, snuffing, or passive smoking",Other Preventive Measures
Cancer Therapy,Oncology,Dietary modification,Dietary/Nutritional
Cancer Therapy,Oncology,"Control of infections e.g. vaccination (e.g. HBV, HPV)",Vaccination/Immunisation
Cancer Therapy,Oncology,Reduce exposure to ionizing radiation,Other Preventive Measures
Cancer Therapy,Oncology,Avoid occupational exposure to chemicals,Other Preventive Measures
Cancer Therapy,Oncology,Genetic risk assessment and counselling,Health Education
Cardiac Arrhythmias,Cardiovascular,"Prevention and prompt management of predisposing conditions such as hypertension, rheumatic heart disease, diabetes mellitus, ischaemic heart disease, congenital heart diseases etc",Other Preventive Measures
Cardiac Disease in Pregnancy,Maternal/Reproductive,Pre-pregnancy counselling on risks,Health Education
Cardiac Disease in Pregnancy,Maternal/Reproductive,Competent dental care under antibiotic cover,Other Preventive Measures
Cardiac Disease in Pregnancy,Maternal/Reproductive,"Adequate antenatal, intrapartum and postpartum care",Other Preventive Measures
Cardiac Disease in Pregnancy,Maternal/Reproductive,Early detection and management of pregnancy-induced hypertension,Screening/Early Detection
Cardiomyopathies,Cardiovascular,"You cannot prevent inherited types of cardiomyopathy. But you can take steps to lower your risk for conditions that may lead to (or complicate) cardiomyopathy, such coronary heart disease, high blood pressure and heart attack",Other Preventive Measures
Cardiomyopathies,Cardiovascular,"Cardiomyopathy can be precipitated by an underlying disease or condition. Treating that initial problem early enough may help prevent the complications presented by cardiomyopathy. For example, to control the underlying conditions of high blood pressure, high blood cholesterol and diabetes",Dietary/Nutritional
Cataract,Ophthalmology,Aspirin and other aspirin like analgesics have been found to delay cataracts in patients with diabetes and rheumatoid arthritis,Other Preventive Measures
Cataract,Ophthalmology,Antioxidant vitamins - Vitamin C has been found to have a protective effect against nuclear and posterior subcapsular cataracts. Vitamin E has also been found to protect against nuclear and cortical cataract,Other Preventive Measures
Cellulitis,Dermatological,Early treatment of carious teeth,Dietary/Nutritional
Cellulitis,Dermatological,Treat any wound promptly,Dietary/Nutritional
Cervical Cancer,Oncology,Screening tests,Screening/Early Detection
Cervical Cancer,Oncology,Timely follow up,Other Preventive Measures
Cervical Cancer,Oncology,HPV vaccination,Vaccination/Immunisation
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,Counselling,Health Education
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,Compliance,Other Preventive Measures
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,Condom use,Safe Sexual Practices
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,Contact treatment,Dietary/Nutritional
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,"Counselling, Compliance, Condom use and Contact treatment",Health Education
Cholera,Infectious/Tropical,Personal and communal hygiene,Hygiene/Sanitation
Cholera,Infectious/Tropical,"Potable water, sanitary disposal of faeces",Other Preventive Measures
Cholera,Infectious/Tropical,Cholera vaccine,Vaccination/Immunisation
Chronic Lymphocytic Leukaemia,Oncology,Avoid chemicals on body (e.g. benzene),Other Preventive Measures
Chronic Lymphocytic Leukaemia,Oncology,Avoid ionizing radiation (X rays),Other Preventive Measures
Chronic Lymphocytic Leukaemia,Oncology,Early detection and treatment,Screening/Early Detection
Chronic Myeloid Leukaemia (CML),Oncology,Avoid exposure to ionizing radiation,Other Preventive Measures
Chronic Myeloid Leukaemia (CML),Oncology,Early detection and treatment,Screening/Early Detection
Gonorrhea in Children,Infectious/Tropical,"Counselling, Compliance, Condom use and Contact treatment",Health Education
Gonorrhea in Children,Infectious/Tropical,Ocular prophylaxis provides poor protection against C. trachomatis conjunctivitis,Other Preventive Measures
Gonorrhea in Children,Infectious/Tropical,Clean the eyes carefully immediately after birth,Hygiene/Sanitation
Gonorrhea in Children,Infectious/Tropical,The application of 1% silver nitrate solution or 1% tetracycline ointment to the eyes of all infants at the time of delivery is strongly recommended as a prophylactic measure,Other Preventive Measures
Gonorrhea in Children,Infectious/Tropical,Infants born to mothers with gonococcal infection should receive additional antibiotic treatment (as those with clinical neonatal conjunctivitis),Dietary/Nutritional
Colorectal Cancer,Oncology,Adenomatous polyps,Other Preventive Measures
Colorectal Cancer,Oncology,familial polyposis coli,Other Preventive Measures
Colorectal Cancer,Oncology,Dietary risk factors,Dietary/Nutritional
Colorectal Cancer,Oncology,Obesity,Other Preventive Measures
Colorectal Cancer,Oncology,Sedentary lifestyle,Lifestyle/Exercise
Colorectal Cancer,Oncology,Schistosomiasis,Other Preventive Measures
Colorectal Cancer,Oncology,uretero-sigmoidostomy,Other Preventive Measures
Congenital Heart Disease,Cardiovascular,Pre-conception nutrition education,Health Education
Congenital Heart Disease,Cardiovascular,Antenatal care,Other Preventive Measures
