condition_name,category,investigation
Abortion,Maternal/Reproductive,PCV or Hb estimation
Abortion,Maternal/Reproductive,Urinalysis
Abortion,Maternal/Reproductive,Ultrasound scan to confirm if foetus is alive
Abortion,Maternal/Reproductive,Rhesus antigen status
Abortion,Maternal/Reproductive,Grouping and cross-matching of blood
Abortion,Maternal/Reproductive,Bed side clotting time in cases of missed abortion
Abortion,Maternal/Reproductive,Clotting profile in cases of missed abortion
Abortion,Maternal/Reproductive,Further investigations will depend upon the suspected cause
Acne Vulgaris,Dermatological,"Usually, none required"
Acne Vulgaris,Dermatological,"In the presence of unusual acne, hirsutism, premature pubarche, or androgenic alopecia (especially when associated with obesity and/or menstrual irregularities): Screen for hyperandrogenism"
Acne Vulgaris,Dermatological,"Blood levels of free testosterone, dehydroepiandrosterone, and androstenedione - If raised, test response of the hormones and cortisol to dexamethasone suppression"
Acute Abdomen,Surgical/Emergency,Plain radiography of abdomen: Supine and upright films to identify features of intestinal obstruction (dilated bowel loops and multiple fluid levels); a radio-opaque shadow may be seen in the region of the urinary tract in ureteric colic
Acute Abdomen,Surgical/Emergency,Plain radiography of chest: An upright film may identify gas under the diaphragm in gastrointestinal perforation and look for chest infection
Acute Abdomen,Surgical/Emergency,"Abdomino-pelvic ultrasonography: Should help ascertain the cause of pain (e.g. cholecystitis, gynaecologic conditions, urinary calculi, degenerating masses); may identify injured solid organ in trauma"
Acute Abdomen,Surgical/Emergency,Diagnostic peritoneal lavage: Useful in abdominal trauma to identify haemoperitoneum and leakage of gastrointestinal contents
Acute Abdomen,Surgical/Emergency,"Biochemical tests: Urinalysis for sugar, protein, ketones; random blood sugar to exclude diabetes mellitus; serum electrolytes and urea (correction may be needed); serum amylase to exclude acute pancreatitis"
Acute Abdomen,Surgical/Emergency,"Haematological tests: Haemogram to exclude anaemia; packed cell volume; haemoglobin genotype if sickle cell disease is suspected; complete blood count may show leucocytosis, neutrophilia; blood grouping and cross-matching"
Acute Anterior Uveitis,Ophthalmology,Chest radiograph to exclude sarcoidosis and tuberculosis
Acute Anterior Uveitis,Ophthalmology,Spinal radiograph (especially lumbrosacral segment) to exclude ankylosing spondilytis
Acute Anterior Uveitis,Ophthalmology,"Serology for rheumatoid factor, antinuclear antibody, etc"
Acute Bronchitis,Respiratory,Chest x-ray
Acute Bronchitis,Respiratory,Sputum tests
Acute Bronchitis,Respiratory,Quality sputum for culture and tests for evidence of allergy
Acute Bronchitis,Respiratory,Pulmonary function tests
Acute Coronary Syndrome,Cardiovascular,12 lead ECG within 10 mins of presentation with chest pain
Acute Coronary Syndrome,Cardiovascular,Serial ECG if there is diagnostic uncertainty or change in clinical status
Acute Coronary Syndrome,Cardiovascular,In inferior wall MI: do a right sided ECG (4VR) to exclude RV infarct (ST elevation > 1 mm)
Acute Coronary Syndrome,Cardiovascular,"ECG diagnosis of STEMI in a setting of preceding LBBB is difficult, but the following are useful: ST changes in the same direction, ST segment elevation > 7-8 mm, Coving of ST segment, Pathological Q wave in 2 consecutive leads and Reciprocal changes"
Acute Coronary Syndrome,Cardiovascular,"Cardiac enzymes: Cardiac troponin I & T are released within 4 hours of MI and remain elevated for up to 2 weeks, It is the most sensitive marker of myocardial damage. Useful in late presentation, MB-CK rises within 4-6 hours, peaks in a day and disappears by the second day"
Acute Coronary Syndrome,Cardiovascular,"Blood chemistry: Blood sugar, electrolytes (Na, K, Cl, Ca, Mg), urea, Cr, lipid levels, arterial blood gas"
Acute Coronary Syndrome,Cardiovascular,C-Xray: Cardiomegaly & Pulmonary oedema
Acute Coronary Syndrome,Cardiovascular,"Echocardiography: Regional wall motion abnormality, Pericardial effusion, Septal/chordae/ papillary muscle rupture, MR, LV function, RV function, PAP"
Acute Coronary Syndrome,Cardiovascular,Coronary angiography: Delineate site (s) of lesion & number of vessels involved
Acute Diarrhoea,Gastrointestinal,"Stool microscopy, culture and sensitivity"
Acute Diarrhoea,Gastrointestinal,Full Blood Count
Acute Diarrhoea,Gastrointestinal,"Urea, Electrolytes and Creatinine"
Acute Epiglottitis,Respiratory,Radiograph (lateral neck x-ray)
Acute Epiglottitis,Respiratory,“Thumb sign” appearance of the enlarged epiglottitis
Acute Epiglottitis,Respiratory,Ultrasound
Acute Epiglottitis,Respiratory,Microbiology
Acute Keratitis,Ophthalmology,"Corneal scraping for microscopy, culture and sensitivity"
Acute Kidney Injury,Renal/Urological,Urine Examination (Volume / microscopy /Urinalysis / Electrolytes)
Acute Kidney Injury,Renal/Urological,"Serum chemistry (e.g. creatinine, urea, K)"
Acute Kidney Injury,Renal/Urological,Haematology including serology
Acute Kidney Injury,Renal/Urological,"Imaging (e.g. USS, IVU, RUCG etc.)"
Acute Kidney Injury,Renal/Urological,Renal biopsy
Acute Necrotizing Ulcerative Gingivitis,Dental/Oral Health,Smears from ulcers show predominantly spirochaetes and gram-negative fusiform bacteria
Acute Otitis Media,"ENT (Ear, Nose & Throat)",Ear swab for MCS - swab taken properly without contamination
Acute Otitis Media,"ENT (Ear, Nose & Throat)",FBC and Differentials
Acute Peri-Apical Abscess,Dental/Oral Health,Radiographs (periapical)
Adenoid Diseases,"ENT (Ear, Nose & Throat)",X-ray of nasopharynx
Adenoid Diseases,"ENT (Ear, Nose & Throat)",X-ray of sinuses and chest
Adenoid Diseases,"ENT (Ear, Nose & Throat)",Nasal endoscopy
Alcohol Dependence (Alcoholism),Neurological/Mental,"FBC and differentials, LFT"
Allergic Conjunctivitis,Ophthalmology,Skin sensitivity test to detect allergen
Amoebiasis,Infectious/Tropical,Fresh Stool Microscopy for cysts and trophozoites
Amoebiasis,Infectious/Tropical,Serology
Amoebiasis,Infectious/Tropical,Chest radiograph
Amoebiasis,Infectious/Tropical,Abdominal ultrasound scan
Anaemias,Haematological,"Haematocrit, haemoglobin concentration, red cell indices, reticulocyte count, total leukocyte and differential counts, platelet count"
Anaemias,Haematological,"Erythrocyte sedimentation rate, Blood film examination for morphology of cells, thick and thin films for malaria parasites"
Anaemias,Haematological,"Urine analysis: Colour, pH, clarity, and specific gravity, microscopic examination of fresh urine specimen, protein, glucose, occult blood"
Anaemias,Haematological,"Stool: Colour, consistency, examination for ova and parasites, occult blood"
Anaemias,Haematological,"Plasma: Blood Urea Nitrogen (BUN), Total protein and albumin bilirubin, creatinine (if BUN is abnormal)"
Anaemias,Haematological,Coombs test for the presence of antibodies to red cells
Anaemias,Haematological,Ham's test (acidified serum test)
Anaemias,Haematological,Bone marrow aspiration and trephine biopsy
Anaemias,Haematological,Haemoglobin electrophoresis
Anaemias,Haematological,Sickling test (metabisulphite and solubility)
Anaemias,Haematological,Family studies
Anemia in Pregnancy,Maternal/Reproductive,FBC and peripheral blood film
Anemia in Pregnancy,Maternal/Reproductive,Midstream urine: M/C/S
Anemia in Pregnancy,Maternal/Reproductive,Renal function test
Anemia in Pregnancy,Maternal/Reproductive,"Stool analysis: ova, cysts, parasites, occult blood"
Anemia in Pregnancy,Maternal/Reproductive,Blood group and cross-match blood
Anemia in Pregnancy,Maternal/Reproductive,Haemoglobin genotype
Anemia in Pregnancy,Maternal/Reproductive,VDRL
Anemia in Pregnancy,Maternal/Reproductive,HIV screening
Anemia in Pregnancy,Maternal/Reproductive,"Ultrasound scan (e.g. of abdomen, pelvis)"
Anemia in Pregnancy,Maternal/Reproductive,Bone marrow biopsy if bone marrow involvement is suspected
Antiphospholipid Syndrome,Haematological,FBC and ESR
